Signal,label
-891.8558742234185,1
-888.9355840625243,1
-886.0106788199936,1
-883.078919744745,1
-880.1581369962172,1
-877.237432003494,1
-874.3196763753035,1
-871.397360975005,1
-868.4821938893124,1
-865.5532245317551,1
-862.6444409854015,1
-859.725948519419,1
-856.8193207201404,1
-853.9123501290959,1
-851.0006692613028,1
-848.0852016474071,1
-845.176381142537,1
-842.2755872435059,1
-839.3828767968313,1
-836.4706569537336,1
-833.5666981418649,1
-830.6658640127238,1
-827.7679871492206,1
-824.8830337027209,1
-821.979172073217,1
-819.090077162151,1
-816.1976013853936,1
-813.3134036840738,1
-810.4219600047368,1
-807.531385162581,1
-804.6500580605343,1
-801.7597001987588,1
-798.8824994623676,1
-795.9965079147444,1
-793.1226330724198,1
-790.239553077627,1
-787.3641256704241,1
-784.4924393551066,1
-781.6128278766004,1
-778.7400436283518,1
-775.8699617866179,1
-772.9992323304194,1
-770.1384975095259,1
-767.271257619706,1
-764.4119731782574,1
-761.5427878554765,1
-758.6795143182544,1
-755.8213939460093,1
-752.9635497400968,1
-750.1093827786184,1
-747.2444175558346,1
-744.3994215761444,1
-741.5488446546518,1
-738.699639339918,1
-735.8481944092636,1
-732.9996639028464,1
-730.161431792461,1
-727.3086638337493,1
-724.4677326989905,1
-721.627829508296,1
-718.7931937826746,1
-715.9573839277546,1
-713.1209350635964,1
-710.2883487302643,1
-707.4600749244852,1
-704.6310654222451,1
-701.8031060490771,1
-698.9739583750505,1
-696.1374674662197,1
-693.3205208285268,1
-690.502875237423,1
-687.6771007947699,1
-684.8601925053355,1
-682.0379710735336,1
-679.2271735252586,1
-676.4059981181903,1
-673.6010890450639,1
-670.7930875051325,1
-667.9761263978933,1
-665.1818069332671,1
-662.3730766349912,1
-659.5706580168298,1
-656.7707905531025,1
-653.9733188459587,1
-651.1662582862597,1
-648.3676722180983,1
-645.5803653589888,1
-642.7918592791336,1
-640.002026266598,1
-637.2141387551521,1
-634.4190882385566,1
-631.6290480161662,1
-628.8499623394858,1
-626.0705438382525,1
-623.2908782319951,1
-620.5104977678727,1
-617.7337864260904,1
-614.9593975131241,1
-612.1838179849989,1
-609.4092271815476,1
-606.6400042425136,1
-603.879005433406,1
-601.1102290204319,1
-598.3465215084875,1
-595.5944794979142,1
-592.826059961435,1
-590.0625885621728,1
