Time (Hours),Flow(GPM),Velocity(fps),Headloss(ft/Kft),Friction factor,Reaction f,Quality,Status,Noisy_Velocity
0:00,-891.86,2.53,3.33,0.034,0.0,0.0,Open,2.903126905787534
0:01,-888.93,2.52,3.31,0.034,0.0,0.0,Open,2.710138246627877
0:02,-886.01,2.51,3.29,0.034,0.0,0.0,Open,2.1722828418960436
0:03,-883.08,2.51,3.27,0.034,0.0,0.0,Open,2.58380590783191
0:04,-880.16,2.5,3.25,0.034,0.0,0.0,Open,2.302159598966281
0:05,-877.24,2.49,3.23,0.034,0.0,0.0,Open,2.229556311710081
0:06,-874.32,2.48,3.21,0.034,0.0,0.0,Open,2.431926272359307
0:07,-871.4,2.47,3.19,0.034,0.0,0.0,Open,2.7005259700232904
0:08,-868.48,2.46,3.17,0.034,0.0,0.0,Open,2.279927612541352
0:09,-865.56,2.46,3.15,0.034,0.0,0.0,Open,2.4670077032002196
0:10,-862.65,2.45,3.13,0.034,0.0,0.0,Open,2.135931143523704
0:11,-859.73,2.44,3.11,0.034,0.0,0.0,Open,1.707413738869771
0:12,-856.82,2.43,3.09,0.034,0.0,0.0,Open,2.2428311098301084
0:13,-853.91,2.42,3.08,0.034,0.0,0.0,Open,2.1054589059257838
0:14,-851.0,2.41,3.06,0.034,0.0,0.0,Open,2.1540629145751264
0:15,-848.09,2.41,3.04,0.034,0.0,0.0,Open,2.0353018664381923
0:16,-845.18,2.4,3.02,0.034,0.0,0.0,Open,2.217360744968782
0:17,-842.28,2.39,3.0,0.034,0.0,0.0,Open,2.0879372621516126
0:18,-839.38,2.38,2.98,0.034,0.0,0.0,Open,1.7210660094814085
0:19,-836.47,2.37,2.96,0.034,0.0,0.0,Open,2.1610986657254068
0:20,-833.57,2.36,2.94,0.034,0.0,0.0,Open,2.399335644311704
0:21,-830.67,2.36,2.92,0.034,0.0,0.0,Open,1.817267426779611
0:22,-827.77,2.35,2.9,0.034,0.0,0.0,Open,1.8279602418355303
0:23,-824.88,2.34,2.88,0.034,0.0,0.0,Open,2.690839026333511
0:24,-821.98,2.33,2.87,0.034,0.0,0.0,Open,1.9749634393074866
0:25,-819.09,2.32,2.85,0.034,0.0,0.0,Open,2.6291298527438896
0:26,-816.2,2.32,2.83,0.034,0.0,0.0,Open,2.1395393227451724
0:27,-813.31,2.31,2.81,0.034,0.0,0.0,Open,2.111967310614428
0:28,-810.42,2.3,2.79,0.034,0.0,0.0,Open,2.4593114238296963
0:29,-807.53,2.29,2.77,0.034,0.0,0.0,Open,2.7974957166806735
0:30,-804.65,2.28,2.75,0.034,0.0,0.0,Open,2.296358757703114
0:31,-801.76,2.27,2.74,0.034,0.0,0.0,Open,2.3314037132021195
0:32,-798.88,2.27,2.72,0.034,0.0,0.0,Open,2.0365076270798115
0:33,-796.0,2.26,2.7,0.034,0.0,0.0,Open,2.240176856241819
0:34,-793.12,2.25,2.68,0.034,0.0,0.0,Open,2.6906103502751813
0:35,-790.24,2.24,2.66,0.034,0.0,0.0,Open,2.0974101960195126
0:36,-787.36,2.23,2.65,0.034,0.0,0.0,Open,1.921757434574007
